02/03/2015 09:32:40,840 [5912] INFO  Running "C:\Users\openfin\AppData\Local\OpenFin\OpenFinRVM.exe" Version 0.1.0.20 - OpenFinRVM::InitInstance
02/03/2015 09:32:40,840 [5912] WARN  RegCloseKey() failed with error 0 for path SOFTWARE\Microsoft\Cryptography - Utils::Repository::Registry::Key::Close
02/03/2015 09:32:40,841 [5912] INFO  Initialized the MainController - OpenFinRVM::InitInstance
02/03/2015 09:32:40,876 [5912] INFO  RVM::Controllers::InstallerController::DoLogic - RVM::Controllers::InstallerController::DoLogic
02/03/2015 09:32:40,876 [5912] INFO  RVM::Controllers::PathVerifyController::DoLogic - RVM::Controllers::PathVerifyController::DoLogic
02/03/2015 09:32:40,876 [5912] INFO  RVM::Controllers::AutoUpdateController::DoLogic - RVM::Controllers::AutoUpdateController::DoLogic
02/03/2015 09:32:40,877 [5912] INFO  Initializing WinINet - Utils::Network::HttpRequest::Initialize
02/03/2015 09:32:40,880 [5912] INFO  Setting receive timeout: 300000 - Utils::Network::HttpRequest::Initialize
02/03/2015 09:32:40,880 [5912] INFO  Setting send timeout: 30000 - Utils::Network::HttpRequest::Initialize
02/03/2015 09:32:40,880 [5912] INFO  Setting connect timeout: 60000 - Utils::Network::HttpRequest::Initialize
02/03/2015 09:32:40,880 [5912] INFO  Get request for url: "https://developer.openfin.co/release/rvm/latestVersion" - Utils::Network::HttpRequest::Get
02/03/2015 09:32:40,880 [5912] INFO  Processing url: "https://developer.openfin.co/release/rvm/latestVersion" - Utils::Network::HttpRequest::WriteRequest
02/03/2015 09:32:41,697 [5912] INFO  StatusCode: 200 - Utils::Network::HttpRequest::WriteRequest
02/03/2015 09:32:41,698 [5912] INFO  ContentLength: 8 - Utils::Network::HttpRequest::ReadResponse
02/03/2015 09:32:41,698 [5912] INFO  Result: 1, total read: 8 - Utils::Network::HttpRequest::ReadResponse
02/03/2015 09:32:41,698 [5912] INFO  Get request completed in: 818 milliseconds - Utils::Network::HttpRequest::Get - Utils::Common::LogTimer::~LogTimer
02/03/2015 09:32:41,699 [5912] INFO  RVM::Controllers::ReadRemoteConfigController::DoLogic - RVM::Controllers::ReadRemoteConfigController::DoLogic
